ptp4l[13866.330]: selected /dev/ptp0 as PTP clock
ptp4l[13866.333]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13866.333]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13866.334]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13867.236]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[13871.236]: selected best master clock 641c10.fffe.f12579
ptp4l[13871.237]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[13950.241]: master offset    -109313 s2 freq -122521 path delay     -1971
ptp4l[13951.241]: master offset     -68214 s2 freq -114216 path delay     -1473
ptp4l[13952.241]: master offset     -32325 s2 freq  -98791 path delay     -1473
ptp4l[13953.241]: master offset     -14170 s2 freq  -90334 path delay     -1473
ptp4l[13954.241]: master offset      -6264 s2 freq  -86679 path delay       -63
ptp4l[13955.241]: master offset       -596 s2 freq  -82890 path delay       -48
ptp4l[13956.241]: master offset       1178 s2 freq  -81295 path delay        39
ptp4l[13957.242]: master offset       1492 s2 freq  -80627 path delay        39
ptp4l[13958.242]: master offset       1121 s2 freq  -80551 path delay        39
ptp4l[13959.242]: master offset        688 s2 freq  -80647 path delay        39
ptp4l[13960.242]: master offset        304 s2 freq  -80825 path delay        39
ptp4l[13961.242]: master offset       -389 s2 freq  -81427 path delay       554
ptp4l[13962.242]: master offset         28 s2 freq  -81126 path delay       554
ptp4l[13963.242]: master offset        -87 s2 freq  -81233 path delay       818
ptp4l[13964.242]: master offset        167 s2 freq  -81005 path delay       818
ptp4l[13965.242]: master offset        135 s2 freq  -80987 path delay       818
ptp4l[13966.243]: master offset        103 s2 freq  -80979 path delay       832
ptp4l[13967.243]: master offset    1423668 s2 freq +1342617 path delay       832
ptp4l[13968.243]: master offset        -81 s2 freq +345969 path delay       847
ptp4l[13969.243]: master offset    -427685 s2 freq  -81660 path delay       878
ptp4l[13970.243]: master offset    -427138 s2 freq -209418 path delay       878
ptp4l[13971.243]: master offset    -298511 s2 freq -208932 path delay       832
ptp4l[13972.243]: master offset    -170571 s2 freq -170546 path delay       832
ptp4l[13973.243]: master offset     -80721 s2 freq -131867 path delay       671
ptp4l[13974.243]: master offset     -24874 s2 freq -100236 path delay     -4248
ptp4l[13975.243]: master offset      -5635 s2 freq  -88460 path delay     -4248
ptp4l[13976.243]: master offset    1442500 s2 freq +1357985 path delay    -29038
ptp4l[13977.243]: master offset    2866376 s2 freq +3214611 path delay    -29038
ptp4l[13978.244]: master offset    -502182 s2 freq +705966 path delay    -29038
ptp4l[13979.244]: master offset     928117 s2 freq +1985610 path delay    -37699
ptp4l[13980.244]: master offset    2351767 s2 freq +3687695 path delay    -37699
ptp4l[13981.244]: master offset   -1514810 s2 freq +526648 path delay    -37699
ptp4l[13982.244]: master offset   -2124643 s2 freq -537628 path delay    -37699
ptp4l[13983.244]: master offset    -639646 s2 freq +309976 path delay    -99207
ptp4l[13984.244]: master offset     889010 s2 freq +1646739 path delay   -203713
ptp4l[13985.244]: master offset    -857794 s2 freq +166638 path delay   -203713
ptp4l[13986.244]: master offset   -1105970 s2 freq -338877 path delay   -203713
ptp4l[13987.244]: master offset    -989326 s2 freq -554024 path delay    -61991
ptp4l[13988.244]: master offset    -467482 s2 freq -328977 path delay    -61991
ptp4l[13989.245]: master offset    -218511 s2 freq -220251 path delay    -61991
ptp4l[13990.245]: master offset    -107137 s2 freq -174430 path delay    -33979
ptp4l[13991.245]: master offset      -2440 s2 freq -101874 path delay    -45161
ptp4l[13992.245]: master offset      18457 s2 freq  -81709 path delay    -45161
ptp4l[13993.245]: master offset      19102 s2 freq  -75527 path delay    -45161
ptp4l[13994.245]: master offset     -25278 s2 freq -114177 path delay     -6254
ptp4l[13995.245]: master offset       7864 s2 freq  -88618 path delay     -6254
ptp4l[13996.245]: master offset      12988 s2 freq  -81135 path delay     -3742
ptp4l[13997.245]: master offset      11409 s2 freq  -78817 path delay     -2031
ptp4l[13998.246]: master offset       9229 s2 freq  -77575 path delay     -2031
ptp4l[13999.245]: master offset       3032 s2 freq  -81003 path delay       716
ptp4l[14000.246]: master offset       2875 s2 freq  -80250 path delay       849
ptp4l[14001.246]: master offset       2036 s2 freq  -80227 path delay       915
ptp4l[14002.246]: master offset     345419 s2 freq +263767 path delay       915
ptp4l[14003.246]: master offset        508 s2 freq  +22482 path delay       915
ptp4l[14004.246]: master offset    -103068 s2 freq  -80942 path delay       915
ptp4l[14005.246]: master offset    -103237 s2 freq -112031 path delay       915
ptp4l[14006.246]: master offset     -72221 s2 freq -111987 path delay       915
ptp4l[14007.246]: master offset     -41219 s2 freq -102651 path delay       915
ptp4l[14008.246]: master offset     -19592 s2 freq  -93390 path delay       915
ptp4l[14009.247]: master offset      -7180 s2 freq  -86855 path delay       915
ptp4l[14010.247]: master offset      -1346 s2 freq  -83175 path delay       915
ptp4l[14011.247]: master offset      57950 s2 freq  -24283 path delay       363
ptp4l[14012.247]: master offset       1583 s2 freq  -63265 path delay       363
ptp4l[14013.247]: master offset    1426353 s2 freq +1361980 path delay      -701
ptp4l[14014.247]: master offset     -26763 s2 freq +336770 path delay      -701
ptp4l[14015.247]: master offset    1396867 s2 freq +1752371 path delay     -1430
ptp4l[14016.247]: master offset    -443686 s2 freq +330878 path delay     -1430
ptp4l[14017.247]: master offset     978940 s2 freq +1620398 path delay     -1430
ptp4l[14018.247]: master offset    -724795 s2 freq +210345 path delay      -701
ptp4l[14019.248]: master offset   -1024477 s2 freq -306775 path delay      7055
ptp4l[14020.248]: master offset    -798706 s2 freq -388347 path delay      7055
ptp4l[14021.248]: master offset    -272861 s2 freq -102114 path delay    -29369
ptp4l[14022.248]: master offset    -251374 s2 freq -162485 path delay    -29369
ptp4l[14023.248]: master offset     -73423 s2 freq  -59947 path delay    -29970
ptp4l[14024.248]: master offset     -94143 s2 freq -102694 path delay    -29970
ptp4l[14025.248]: master offset     -87722 s2 freq -124515 path delay    -14723
ptp4l[14026.248]: master offset    1335969 s2 freq +1272859 path delay    -14723
ptp4l[14027.248]: master offset     -19447 s2 freq +318234 path delay    -14723
ptp4l[14028.249]: master offset    -430823 s2 freq  -98976 path delay     -3548
ptp4l[14029.249]: master offset    -410363 s2 freq -207763 path delay     -5961
ptp4l[14030.249]: master offset    -274657 s2 freq -195166 path delay    -14723
